token_id,symbol,name,url
1,veJBX-01,Juicebox's Governance Banana No. 01,
2,veJBX-02,Juicebox's Governance Banana No. 02,
3,veJBX-03,Juicebox's Governance Banana No. 03,
4,veJBX-04,Juicebox's Governance Banana No. 04,
5,veJBX-05,Juicebox's Governance Banana No. 05,
6,veJBX-06,Juicebox's Governance Banana No. 06,
7,veJBX-07,Juicebox's Governance Banana No. 07,
8,veJBX-08,Juicebox's Governance Banana No. 08,
9,veJBX-09,Juicebox's Governance Banana No. 09,
10,veJBX-10,Juicebox's Governance Banana No. 10,
11,veJBX-11,Juicebox's Governance Banana No. 11,
12,veJBX-12,Juicebox's Governance Banana No. 12,
13,veJBX-13,Juicebox's Governance Banana No. 13,
14,veJBX-14,Juicebox's Governance Banana No. 14,
15,veJBX-15,Juicebox's Governance Banana No. 15,
16,veJBX-16,Juicebox's Governance Banana No. 16,
17,veJBX-17,Juicebox's Governance Banana No. 17,
18,veJBX-18,Juicebox's Governance Banana No. 18,
19,veJBX-19,Juicebox's Governance Banana No. 19,
20,veJBX-20,Juicebox's Governance Banana No. 20,
21,veJBX-21,Juicebox's Governance Banana No. 21,
22,veJBX-22,Juicebox's Governance Banana No. 22,
23,veJBX-23,Juicebox's Governance Banana No. 23,
24,veJBX-24,Juicebox's Governance Banana No. 24,
25,veJBX-25,Juicebox's Governance Banana No. 25,
26,veJBX-26,Juicebox's Governance Banana No. 26,
27,veJBX-27,Juicebox's Governance Banana No. 27,
28,veJBX-28,Juicebox's Governance Banana No. 28,
29,veJBX-29,Juicebox's Governance Banana No. 29,
30,veJBX-30,Juicebox's Governance Banana No. 30,
31,veJBX-31,Juicebox's Governance Banana No. 31,
32,veJBX-32,Juicebox's Governance Banana No. 32,
33,veJBX-33,Juicebox's Governance Banana No. 33,
34,veJBX-34,Juicebox's Governance Banana No. 34,
35,veJBX-35,Juicebox's Governance Banana No. 35,
36,veJBX-36,Juicebox's Governance Banana No. 36,
37,veJBX-37,Juicebox's Governance Banana No. 37,
38,veJBX-38,Juicebox's Governance Banana No. 38,
39,veJBX-39,Juicebox's Governance Banana No. 39,
40,veJBX-40,Juicebox's Governance Banana No. 40,
41,veJBX-41,Juicebox's Governance Banana No. 41,
42,veJBX-42,Juicebox's Governance Banana No. 42,
43,veJBX-43,Juicebox's Governance Banana No. 43,
44,veJBX-44,Juicebox's Governance Banana No. 44,
45,veJBX-45,Juicebox's Governance Banana No. 45,
46,veJBX-46,Juicebox's Governance Banana No. 46,
47,veJBX-47,Juicebox's Governance Banana No. 47,
48,veJBX-48,Juicebox's Governance Banana No. 48,
49,veJBX-49,Juicebox's Governance Banana No. 49,
50,veJBX-50,Juicebox's Governance Banana No. 50,
51,veJBX-51,Juicebox's Governance Banana No. 51,
52,veJBX-52,Juicebox's Governance Banana No. 52,
53,veJBX-53,Juicebox's Governance Banana No. 53,
54,veJBX-54,Juicebox's Governance Banana No. 54,
55,veJBX-55,Juicebox's Governance Banana No. 55,
56,veJBX-56,Juicebox's Governance Banana No. 56,
57,veJBX-57,Juicebox's Governance Banana No. 57,
58,veJBX-58,Juicebox's Governance Banana No. 58,
59,veJBX-59,Juicebox's Governance Banana No. 59,
60,veJBX-60,Juicebox's Governance Banana No. 60,
